GENDER,AGE,AGE_GROUP,INVESTMENT,INCOME,ACTIVITY, YRLY_AMT,AVG_DAILY_TX,YRLY_TX,AVG_TX_AMT,NEGTWEETS,STATE,EDUCATION,label
M,72,Above 50,71301,285872,5,61608.70,0.96,349,176.53,3,WA,Doctorate,0
M,47,41-50,76646,264763,4,59775.40,0.96,351,170.30,4,NY,Doctorate,0
F,33,31-40,116251,264244,0,60588.40,0.92,337,179.79,15,TX,Bachelors degree,1
F,57,Above 50,78373,257795,1,60526.40,0.95,348,173.93,9,CT,Doctorate,1
F,58,Above 50,83250,227844,1,50226.80,0.84,306,164.14,4,WA,Bachelors degree,0
M,24,20-30,82451,226822,1,46729.20,0.80,292,160.03,9,CA,Bachelors degree,1
F,50,,76285,225602,4,48090.40,0.86,314,153.15,3,CA,Masters degree,0
M,32,31-40,79156,225412,1,47881.20,0.87,316,151.52,9,CT,Bachelors degree,1
M,74,Above 50,85072,224141,1,48611.00,0.83,302,160.96,7,TX,Bachelors degree,1
F,78,Above 50,96443,224002,2,47143.40,0.83,302,156.10,2,CT,Bachelors degree,0
F,74,Above 50,109841,223025,2,46345.80,0.83,304,152.45,2,CA,Bachelors degree,0
M,72,Above 50,95387,222836,2,46718.90,0.82,299,156.25,3,TX,Masters degree,0
F,64,Above 50,101193,222582,0,46897.90,0.85,312,150.31,4,WA,Bachelors degree,0
M,21,20-30,91409,222577,2,45860.30,0.82,300,152.87,14,CA,Bachelors degree,1
F,43,41-50,110909,220203,3,47793.30,0.82,299,159.84,4,CA,Bachelors degree,0
F,54,Above 50,73424,219937,2,48106.40,0.87,317,151.76,2,NY,Bachelors degree,0
F,61,Above 50,74987,219034,1,44861.00,0.82,299,150.04,7,CT,Masters degree,1
F,34,31-40,92811,219032,4,46951.20,0.87,316,148.58,4,TX,Bachelors degree,0
F,45,41-50,102629,218754,1,49219.70,0.85,312,157.76,9,NY,Masters degree,1
F,52,Above 50,98662,218504,0,47113.30,0.84,305,154.47,3,TX,Bachelors degree,0
F,82,Above 50,116791,218143,4,46328.80,0.87,317,146.15,2,TX,Masters degree,0
F,45,41-50,118337,217523,4,44847.40,0.80,292,153.59,3,WA,Masters degree,0
M,63,Above 50,98252,217137,1,44610.30,0.81,295,151.22,4,CA,Masters degree,0
F,31,31-40,115062,215873,1,46641.10,0.86,315,148.07,5,TX,Bachelors degree,1
F,58,Above 50,113824,214990,3,45199.80,0.82,298,151.68,2,NY,Bachelors degree,0
F,52,Above 50,99919,214301,0,44728.80,0.82,299,149.60,5,CA,Masters degree,1
M,24,20-30,110159,212946,3,44177.70,0.82,298,148.25,13,CT,Bachelors degree,1
M,42,41-50,91573,211756,1,44564.00,0.83,304,146.59,2,NY,Masters degree,0
M,36,31-40,113045,210914,2,45758.20,0.86,313,146.19,4,CT,Masters degree,0
F,79,Above 50,103456,210672,2,43861.80,0.83,303,144.76,2,NY,Bachelors degree,0
F,44,41-50,95507,209976,1,45357.40,0.83,302,150.19,4,CA,Bachelors degree,0
M,63,Above 50,106457,209723,2,43596.80,0.80,293,148.80,3,TX,Bachelors degree,0
M,21,20-30,104698,209075,1,45375.00,0.86,313,144.97,12,CT,Bachelors degree,1
M,52,Above 50,81776,208877,3,42514.20,0.83,303,140.31,3,CA,Bachelors degree,0
M,34,31-40,115868,208681,2,43190.30,0.79,290,148.93,4,TX,Masters degree,0
F,60,Above 50,80429,208334,2,43613.80,0.80,292,149.36,12,WA,Bachelors degree,1
F,45,41-50,114047,208174,5,42921.80,0.86,314,136.69,3,WA,Masters degree,0
M,49,41-50,115627,204861,1,42268.00,0.80,292,144.75,4,CA,Masters degree,0
M,72,Above 50,91621,204837,3,41461.60,0.81,296,140.07,0,WA,Masters degree,0
M,51,Above 50,71935,203900,1,42518.80,0.82,301,141.26,3,WA,Masters degree,0
M,76,Above 50,87387,203885,2,43891.00,0.82,300,146.30,1,TX,Bachelors degree,0
M,53,Above 50,80708,203161,2,42591.50,0.82,299,142.45,3,NY,Bachelors degree,0
M,47,41-50,110196,202802,1,45596.90,0.86,314,145.21,10,TX,Bachelors degree,1
M,42,41-50,96924,202599,2,44507.30,0.86,315,141.29,2,WA,Bachelors degree,0
M,55,Above 50,92481,202017,1,45244.90,0.85,312,145.02,4,NY,Bachelors degree,0
M,30,20-30,99044,201652,2,41756.60,0.81,294,142.03,7,CA,Bachelors degree,1
M,63,Above 50,76941,200898,3,44219.40,0.86,315,140.38,1,CT,Bachelors degree,0
F,82,Above 50,94763,200795,1,43042.90,0.87,317,135.78,1,NY,Bachelors degree,0
M,65,Above 50,80058,200519,1,43386.70,0.81,295,147.07,2,TX,Bachelors degree,0
M,74,Above 50,96792,199469,5,40688.10,0.81,294,138.40,2,PA,Masters degree,0
F,73,Above 50,113029,198514,3,42138.40,0.83,303,139.07,2,MI,Bachelors degree,0
M,39,31-40,116506,198421,4,43283.50,0.83,304,142.38,3,ID,Masters degree,0
F,43,41-50,91917,195656,1,41397.90,0.80,293,141.29,1,VT,Bachelors degree,0
F,33,31-40,85023,195287,2,41587.20,0.82,300,138.62,4,AK,Bachelors degree,0
M,32,31-40,92072,194103,0,42163.20,0.80,291,144.89,15,OR,Masters degree,1
M,65,Above 50,94187,193726,0,42975.10,0.82,301,142.78,9,PA,Masters degree,1
M,78,Above 50,108755,191973,1,39143.50,0.80,292,134.05,3,NV,Bachelors degree,0
M,63,Above 50,73936,191918,1,41613.10,0.87,316,131.69,1,IN,Bachelors degree,0
M,49,41-50,95792,191806,1,40628.80,0.80,293,138.67,1,OK,Masters degree,0
M,31,31-40,103541,190976,0,40849.90,0.82,301,135.71,10,PA,Bachelors degree,1
M,48,41-50,84246,190756,3,40576.90,0.80,293,138.49,2,DE,Masters degree,0
M,61,Above 50,94958,190320,2,39507.40,0.79,289,136.70,4,RI,Bachelors degree,0
F,62,Above 50,114314,190135,3,40921.50,0.82,298,137.32,14,MI,Masters degree,1
M,66,Above 50,115055,190102,1,40375.70,0.83,304,132.82,4,NV,Bachelors degree,0
M,28,20-30,100172,190094,1,42024.90,0.82,299,140.55,3,NH,Masters degree,0
M,47,41-50,86323,188630,2,38591.40,0.83,302,127.79,6,IA,Bachelors degree,0
F,39,31-40,89391,188564,1,42604.30,0.85,310,137.43,9,PA,Bachelors degree,1
M,62,Above 50,80448,188244,5,38981.20,0.80,291,133.96,2,NE,Bachelors degree,0
F,66,Above 50,72111,188201,0,41271.90,0.82,298,138.50,3,WY,Bachelors degree,0
F,65,Above 50,96594,188112,2,42330.10,0.82,299,141.57,9,MD,Bachelors degree,1
M,28,20-30,71260,187895,1,41483.90,0.86,313,132.54,12,ID,Masters degree,1
F,26,20-30,93801,187695,0,40683.90,0.84,305,133.39,7,ID,Masters degree,1
M,33,31-40,82835,186401,3,40451.80,0.85,309,130.91,6,NV,Masters degree,0
M,60,Above 50,89977,186268,2,40844.40,0.82,301,135.70,2,TX,Masters degree,0
M,53,Above 50,106045,185065,4,38817.80,0.79,290,133.85,10,PA,Masters degree,1
F,45,41-50,73477,184791,2,42577.90,0.81,297,143.36,3,IL,Bachelors degree,0
F,31,31-40,98503,184709,5,40366.60,0.86,315,128.15,3,CO,Bachelors degree,0
M,78,Above 50,111932,184238,1,40455.40,0.83,303,133.52,4,FL,Bachelors degree,0
M,50,,81035,183052,5,37113.40,0.79,290,127.98,3,CA,Masters degree,0
M,38,31-40,78510,181968,4,40228.00,0.86,313,128.52,2,AL,Masters degree,0
M,29,20-30,103862,180815,1,38257.80,0.82,300,127.53,4,NE,Masters degree,0
M,22,20-30,110672,180312,5,38269.50,0.79,287,133.34,4,WA,Masters degree,0
M,22,20-30,104353,179889,1,39078.30,0.80,293,133.37,13,ID,Bachelors degree,1
M,36,31-40,85548,178850,1,39628.30,0.82,299,132.54,1,OH,Bachelors degree,0
M,38,31-40,92804,178838,1,37844.30,0.80,293,129.16,6,ID,Masters degree,1
F,33,31-40,92907,178326,2,38386.30,0.81,295,130.12,4,MA,Bachelors degree,0
F,55,Above 50,78037,178142,1,38154.40,0.83,302,126.34,3,WY,Bachelors degree,0
M,33,31-40,98169,178109,1,39733.20,0.82,299,132.89,9,WA,Bachelors degree,1
F,59,Above 50,115228,177969,5,39096.50,0.82,301,129.89,3,SC,Bachelors degree,0
M,41,,82776,177542,2,39520.10,0.87,317,124.67,8,PA,Bachelors degree,1
M,34,31-40,103164,176704,3,36526.50,0.80,293,124.66,5,NY,Bachelors degree,0
F,25,20-30,70531,176450,4,38603.00,0.79,290,133.11,1,KS,Bachelors degree,0
F,34,31-40,117351,176366,2,40758.30,0.84,306,133.20,0,WA,Bachelors degree,0
M,61,Above 50,112146,176355,2,38928.10,0.87,316,123.19,3,NE,Masters degree,0
M,30,20-30,86143,176189,2,39737.90,0.82,301,132.02,9,MI,Bachelors degree,1
F,65,Above 50,83765,176125,0,39998.10,0.80,291,137.45,4,PA,Masters degree,0
M,39,31-40,91093,175670,3,36876.10,0.80,292,126.29,3,KS,Bachelors degree,0
M,44,41-50,100678,175440,0,39313.50,0.82,301,130.61,7,PA,Bachelors degree,1
F,47,41-50,81822,175066,2,37142.40,0.83,303,122.58,3,MO,Masters degree,0
M,32,31-40,102495,174984,1,37669.10,0.80,292,129.00,13,ID,Bachelors degree,1
M,54,Above 50,116335,174665,2,38207.70,0.82,301,126.94,2,GA,Bachelors degree,0
F,47,41-50,97202,174427,3,36154.40,0.80,291,124.24,4,VT,Bachelors degree,0
M,40,31-40,95517,174207,1,35703.40,0.82,298,119.81,14,ID,Bachelors degree,1
M,25,20-30,90904,173282,5,37911.70,0.81,295,128.51,6,MI,Bachelors degree,1
M,58,Above 50,92800,172998,0,36853.00,0.80,293,125.78,10,OR,Bachelors degree,1
F,29,20-30,105736,172740,1,38533.10,0.86,314,122.72,5,OH,Bachelors degree,0
F,58,Above 50,77626,172318,4,39162.60,0.85,312,125.52,2,MD,Bachelors degree,0
M,62,Above 50,89360,172173,1,37695.00,0.79,290,129.98,2,VT,Bachelors degree,0
F,37,31-40,115615,171671,2,36560.60,0.82,298,122.69,5,ME,Masters degree,0
M,68,Above 50,76006,171654,4,35337.90,0.79,290,121.85,3,NV,Masters degree,0
F,83,Above 50,79553,171451,1,36620.40,0.81,297,123.30,3,NJ,Masters degree,0
M,62,Above 50,119243,171078,4,34843.30,0.79,289,120.57,4,CA,Masters degree,0
M,27,20-30,111849,170822,0,37815.80,0.82,300,126.05,2,WY,Bachelors degree,0
F,69,Above 50,73263,170790,2,36881.20,0.83,302,122.12,3,MD,Masters degree,0
M,46,41-50,100504,170710,5,36598.30,0.83,302,121.19,3,RI,Bachelors degree,0
M,52,Above 50,82081,170128,2,39186.40,0.83,303,129.33,2,RI,Masters degree,0
M,41,,79382,170049,1,36502.10,0.80,293,124.58,11,PA,Bachelors degree,1
M,21,20-30,91111,169965,2,36915.50,0.82,301,122.64,10,ND,Bachelors degree,1
F,57,Above 50,118678,168756,1,36157.50,0.84,306,118.16,3,AK,Bachelors degree,0
M,29,20-30,75357,168669,0,37187.80,0.82,300,123.96,11,OR,Bachelors degree,1
M,51,Above 50,100808,167502,0,39444.00,0.87,316,124.82,3,ID,Bachelors degree,0
M,32,31-40,75582,167295,3,37459.20,0.86,314,119.30,2,ID,Bachelors degree,0
F,75,Above 50,106582,166701,0,38338.00,0.86,315,121.71,3,MT,Bachelors degree,0
F,35,31-40,79240,166662,5,40036.20,0.87,316,126.70,4,KS,Masters degree,0
M,53,Above 50,88828,166633,3,37914.10,0.86,315,120.36,3,NE,Masters degree,0
M,66,Above 50,87879,165763,0,34844.40,0.81,294,118.52,3,CA,Masters degree,1
M,54,Above 50,87130,165455,4,36666.80,0.82,300,122.22,3,KS,Bachelors degree,0
M,72,Above 50,95530,163813,2,37523.10,0.82,300,125.08,4,FL,Bachelors degree,0
M,33,31-40,110010,163337,2,36516.90,0.83,302,120.92,5,WA,Masters degree,0
M,59,Above 50,116599,161497,4,33915.10,0.80,293,115.75,3,AR,Bachelors degree,0
F,33,31-40,106164,161436,3,35416.70,0.82,301,117.66,4,TN,Masters degree,0
M,28,20-30,113262,160991,1,37587.60,0.86,313,120.09,9,ND,Masters degree,1
M,51,Above 50,107761,159206,2,36673.80,0.86,315,116.43,5,MD,Masters degree,1
M,54,Above 50,72682,158433,2,34691.00,0.81,294,118.00,2,MI,Bachelors degree,0
F,56,Above 50,109225,158020,2,36596.80,0.83,304,120.38,3,NV,Masters degree,0
M,41,,97984,157569,0,33532.80,0.80,293,114.45,3,IL,Masters degree,0
F,50,,72264,157470,0,35285.90,0.84,307,114.94,4,IN,Masters degree,0
F,39,31-40,116185,156790,2,33515.80,0.83,304,110.25,3,ID,Masters degree,0
F,61,Above 50,88762,154649,5,35705.30,0.83,303,117.84,4,OR,Masters degree,0
F,52,Above 50,117451,154452,5,36391.40,0.86,314,115.90,3,VT,Masters degree,0
M,45,41-50,99673,153724,1,35577.40,0.86,315,112.94,10,ID,Masters degree,1
F,65,Above 50,105345,153679,3,34519.30,0.85,310,111.35,3,KS,Bachelors degree,0
M,43,41-50,72749,153603,2,33051.00,0.80,292,113.19,10,WA,Bachelors degree,1
M,38,31-40,106137,153220,2,32575.20,0.79,289,112.72,3,CO,Masters degree,0
F,37,31-40,104658,152522,4,34361.30,0.83,302,113.78,11,MD,Masters degree,1
F,45,41-50,89843,152399,2,34121.90,0.81,295,115.67,1,AR,Bachelors degree,0
M,36,31-40,96676,152107,5,35167.50,0.82,299,117.62,5,NE,Masters degree,0
F,63,Above 50,73342,151110,2,34647.40,0.82,300,115.49,4,WV,Masters degree,0
F,80,Above 50,96975,150910,1,34690.90,0.82,298,116.41,5,PA,Bachelors degree,0
F,36,31-40,84862,149794,3,35169.00,0.79,287,122.54,2,CA,Masters degree,0
F,42,41-50,111984,149500,0,32444.10,0.75,272,119.28,6,OR,Masters degree,1
F,40,31-40,103505,148588,1,33491.10,0.75,272,123.13,3,OR,Bachelors degree,1
F,29,20-30,94620,147983,5,33310.70,0.75,275,121.13,2,WI,Bachelors degree,0
F,33,31-40,108146,147931,0,33356.80,0.76,277,120.42,12,WA,Masters degree,1
M,53,Above 50,101939,147098,2,33364.00,0.75,275,121.32,1,SC,Bachelors degree,0
M,71,Above 50,82040,147074,2,34607.30,0.80,293,118.11,3,IA,Bachelors degree,0
M,39,31-40,82526,146756,2,32687.70,0.74,271,120.62,13,MI,Bachelors degree,1
M,51,Above 50,118336,146756,0,31571.90,0.75,274,115.23,5,MI,Bachelors degree,1
F,44,41-50,101490,146203,1,33304.10,0.76,277,120.23,7,ID,Bachelors degree,1
M,33,31-40,101525,146185,4,34544.80,0.78,286,120.79,3,WI,Bachelors degree,0
M,47,41-50,88332,144993,1,33302.00,0.78,284,117.26,3,KY,Masters degree,0
M,34,31-40,71166,144920,1,33724.00,0.76,277,121.75,9,MI,Masters degree,1
M,37,31-40,95041,144546,1,33423.40,0.79,290,115.25,17,OR,Masters degree,1
F,30,20-30,103015,144313,0,33171.60,0.78,285,116.39,4,MT,Bachelors degree,0
F,76,Above 50,77526,143463,2,32404.10,0.76,276,117.41,4,TN,Bachelors degree,0
F,42,41-50,100400,142690,3,31364.50,0.76,277,113.23,3,SC,Masters degree,0
F,38,31-40,107473,142299,4,30867.70,0.76,277,111.44,2,CT,Masters degree,0
M,57,Above 50,108056,141986,3,32568.20,0.77,281,115.90,2,SC,Masters degree,0
M,69,Above 50,90735,140714,5,31763.60,0.76,277,114.67,3,ME,Bachelors degree,0
M,70,Above 50,99043,140478,3,30982.80,0.75,275,112.66,3,DC,Masters degree,0
F,29,20-30,78766,138856,2,32450.40,0.79,290,111.90,8,MI,Bachelors degree,1
F,22,20-30,90719,138688,4,31246.30,0.75,275,113.62,4,VA,Bachelors degree,0
M,36,31-40,87882,137992,3,31750.10,0.77,280,113.39,4,NJ,Bachelors degree,0
M,45,41-50,94111,137942,2,31989.40,0.79,289,110.69,3,MA,Bachelors degree,0
M,46,41-50,93613,137448,4,31414.80,0.76,278,113.00,1,AZ,Bachelors degree,0
F,23,20-30,107138,137245,2,30977.80,0.75,272,113.89,9,MI,Bachelors degree,1
M,60,Above 50,76318,135779,2,30405.90,0.76,279,108.98,4,IA,Masters degree,0
M,25,20-30,95050,135761,5,32437.30,0.79,290,111.85,3,ME,Masters degree,0
M,53,Above 50,104298,135429,4,32245.60,0.80,292,110.43,3,DE,Bachelors degree,0
M,41,,75835,134858,1,31359.50,0.75,272,115.29,1,CO,Masters degree,0
F,25,20-30,104698,134617,2,29578.00,0.75,274,107.95,3,ND,Bachelors degree,0
F,51,Above 50,104866,134128,3,30309.00,0.76,278,109.02,5,WY,Bachelors degree,0
F,44,41-50,98406,133982,0,31141.50,0.75,275,113.24,4,FL,Bachelors degree,0
F,62,Above 50,108025,133824,4,31844.30,0.80,291,109.43,3,CA,Bachelors degree,1
F,32,31-40,106544,133772,2,30418.40,0.76,279,109.03,13,OR,Masters degree,1
M,80,Above 50,97842,133351,4,31054.10,0.80,293,105.99,2,NY,Bachelors degree,0
M,63,Above 50,82790,132935,2,29682.20,0.76,279,106.39,2,ID,Bachelors degree,0
M,47,41-50,96142,132679,1,29889.10,0.75,273,109.48,7,MI,Bachelors degree,1
F,44,41-50,117528,132410,3,30685.60,0.76,276,111.18,2,ME,Masters degree,0
M,39,31-40,94325,132362,5,30076.90,0.75,272,110.58,5,OK,Masters degree,0
F,27,20-30,117944,132267,1,29325.80,0.78,286,102.54,15,MD,Bachelors degree,1
M,28,20-30,114239,132196,5,30508.90,0.76,276,110.54,4,NY,Bachelors degree,0
F,58,Above 50,87360,132177,3,30278.20,0.76,276,109.70,4,WA,Bachelors degree,0
F,31,31-40,119927,132147,3,31013.60,0.80,292,106.21,11,MI,Bachelors degree,1
M,56,Above 50,75351,131820,2,30791.90,0.80,293,105.09,3,IA,Bachelors degree,0
F,52,Above 50,107209,131739,0,30885.40,0.79,287,107.62,2,NY,Bachelors degree,0
F,45,41-50,77831,131451,5,29350.30,0.76,279,105.20,4,RI,Bachelors degree,0
F,52,Above 50,108062,131075,2,30383.50,0.79,287,105.87,2,PA,Masters degree,0
F,62,Above 50,95893,130688,1,29227.20,0.75,273,107.06,2,TX,Masters degree,0
F,54,Above 50,78838,130568,1,28764.90,0.74,270,106.54,2,RI,Bachelors degree,0
F,48,41-50,109872,130237,3,30130.20,0.76,278,108.38,8,OR,Bachelors degree,1
M,75,Above 50,83117,130150,0,30088.40,0.76,277,108.62,2,NV,Bachelors degree,0
F,44,41-50,88994,129889,2,31138.10,0.80,291,107.00,2,TX,Masters degree,0
F,74,Above 50,107045,129883,1,30561.70,0.78,283,107.99,2,GA,Bachelors degree,0
F,23,20-30,81076,129397,2,29247.30,0.75,273,107.13,3,DE,Masters degree,0
M,73,Above 50,75204,129384,1,29261.80,0.76,277,105.64,2,SD,Bachelors degree,0
M,35,31-40,85928,129285,3,29702.00,0.76,279,106.46,3,PA,Bachelors degree,0
M,31,31-40,111192,129276,2,31141.10,0.80,291,107.01,2,MS,Bachelors degree,0
F,36,31-40,110018,129128,2,30689.90,0.80,292,105.10,2,MT,Masters degree,0
F,40,31-40,87268,129071,0,29356.60,0.75,274,107.14,10,MD,Masters degree,1
M,69,Above 50,88339,128961,1,29564.60,0.75,274,107.90,3,MD,Bachelors degree,1
M,37,31-40,96781,128606,2,29627.40,0.77,280,105.81,2,VT,Masters degree,0
M,31,31-40,99859,128021,2,29421.00,0.75,275,106.99,13,ID,Masters degree,1
M,64,Above 50,90589,128021,2,28521.50,0.75,273,104.47,3,WI,Bachelors degree,0
M,24,20-30,117746,127814,1,29691.70,0.76,276,107.58,4,ND,Bachelors degree,1
F,52,Above 50,107856,127507,1,29321.80,0.78,285,102.88,15,ID,Masters degree,1
F,32,31-40,111544,127161,0,28870.40,0.76,276,104.60,9,WA,Masters degree,1
M,71,Above 50,107012,126752,5,29945.00,0.79,290,103.26,5,NJ,Masters degree,0
M,28,20-30,77108,126259,4,30080.10,0.78,285,105.54,3,OH,Bachelors degree,0
M,24,20-30,71844,126096,3,28923.30,0.76,276,104.80,11,MD,Masters degree,1
F,39,31-40,82005,125906,1,28769.40,0.76,279,103.12,10,MI,Bachelors degree,1
M,36,31-40,71237,125812,1,28995.50,0.75,275,105.44,6,ID,Masters degree,1
F,57,Above 50,80447,125123,2,29122.40,0.78,284,102.54,3,AK,Bachelors degree,0
M,61,Above 50,84903,124906,4,28508.20,0.75,272,104.81,2,NY,Bachelors degree,0
M,34,31-40,71500,124838,2,29184.40,0.76,277,105.36,3,SC,Bachelors degree,0
F,74,Above 50,92473,124751,2,28580.50,0.76,277,103.18,4,CO,Bachelors degree,0
F,45,41-50,76818,124751,0,27827.30,0.75,273,101.93,13,OR,Bachelors degree,1
M,65,Above 50,112946,124622,2,28927.10,0.74,271,106.74,3,MS,Bachelors degree,0
F,45,41-50,111704,124473,5,29357.20,0.78,284,103.37,1,IN,Bachelors degree,0
M,32,31-40,70698,124381,2,27876.50,0.76,276,101.00,9,ND,Bachelors degree,1
M,23,20-30,113071,124132,0,28328.90,0.75,274,103.39,7,MI,Bachelors degree,1
M,59,Above 50,87369,124018,0,29076.90,0.79,290,100.27,4,MT,Bachelors degree,0
M,57,Above 50,100277,123830,2,28454.40,0.79,289,98.46,2,OK,Bachelors degree,0
M,37,31-40,114312,123431,1,27952.10,0.76,276,101.28,2,OR,Masters degree,0
M,63,Above 50,113168,123394,2,29674.50,0.79,289,102.68,3,AK,Bachelors degree,0
F,53,Above 50,109097,122907,1,27173.60,0.75,273,99.54,3,AZ,Masters degree,0
F,54,Above 50,109814,122884,2,27894.20,0.76,276,101.07,3,IL,Bachelors degree,0
M,42,41-50,110807,122806,2,28472.00,0.76,276,103.16,4,DE,Masters degree,0
F,33,31-40,103907,121663,2,29226.00,0.78,285,102.55,2,NY,Bachelors degree,0
F,31,31-40,71442,121544,2,27691.70,0.75,274,101.07,4,LA,Masters degree,0
F,63,Above 50,100748,121410,3,27662.30,0.75,273,101.33,4,PA,Masters degree,1
M,62,Above 50,114391,121322,1,29283.20,0.80,291,100.63,4,PA,Masters degree,0
M,57,Above 50,71280,120565,3,28004.60,0.76,276,101.47,4,KY,Masters degree,0
F,24,20-30,106894,120013,3,27444.40,0.75,274,100.16,2,CO,Masters degree,0
F,54,Above 50,115235,119960,1,28142.30,0.76,277,101.60,4,PA,Masters degree,0
M,47,41-50,94508,119759,2,27240.70,0.76,279,97.64,4,ME,Masters degree,0
M,85,Above 50,111104,119738,4,27637.10,0.75,275,100.50,4,KY,Masters degree,0
M,53,Above 50,70350,119479,1,27360.80,0.74,271,100.96,3,TX,Bachelors degree,0
F,67,Above 50,113490,119462,3,27353.20,0.75,275,99.47,2,MT,Masters degree,0
M,51,Above 50,117002,119460,2,26924.00,0.76,276,97.55,4,ND,Bachelors degree,0
M,56,Above 50,114567,119186,2,29101.70,0.80,293,99.32,12,OR,Bachelors degree,1
M,28,20-30,71424,119010,1,28049.70,0.80,292,96.06,9,PA,Masters degree,1
F,46,41-50,103006,118916,3,26120.50,0.75,275,94.98,3,SD,Bachelors degree,0
M,66,Above 50,89263,118681,0,28121.20,0.78,284,99.02,2,FL,Masters degree,0
M,58,Above 50,107546,118518,3,27025.00,0.76,277,97.56,4,RI,Masters degree,0
F,33,31-40,73155,118451,3,27728.80,0.78,285,97.29,8,CA,Bachelors degree,1
M,46,41-50,77452,118039,4,26923.40,0.74,271,99.35,2,NJ,Bachelors degree,0
M,38,31-40,110038,117949,3,28545.50,0.79,287,99.46,2,UT,Masters degree,0
M,57,Above 50,119496,117386,1,26708.40,0.76,278,96.07,5,DE,Bachelors degree,0
F,76,Above 50,113488,117325,4,27726.10,0.76,277,100.09,3,NY,Bachelors degree,0
F,62,Above 50,94457,117023,4,28269.20,0.79,289,97.82,3,MA,Bachelors degree,0
M,48,41-50,114965,116900,2,27188.90,0.75,275,98.87,3,NM,Bachelors degree,0
F,36,31-40,90302,116429,0,25882.30,0.74,271,95.51,7,MI,Bachelors degree,1
M,28,20-30,84806,116336,2,27002.90,0.74,270,100.01,4,ID,Bachelors degree,1
M,40,31-40,108902,116318,2,27357.30,0.76,276,99.12,3,NV,Bachelors degree,0
M,52,Above 50,100070,115899,2,27149.80,0.75,275,98.73,4,IA,Bachelors degree,0
M,51,Above 50,91959,115860,3,26174.40,0.75,274,95.53,9,MD,Bachelors degree,1
M,25,20-30,102786,115630,2,26674.60,0.76,279,95.61,4,OR,Masters degree,1
F,41,,108942,114999,2,27152.40,0.78,285,95.27,4,MI,Bachelors degree,0
F,73,Above 50,97832,114646,1,27859.00,0.78,285,97.75,5,OR,Bachelors degree,1
F,48,41-50,88725,114324,2,28135.30,0.76,278,101.21,4,UT,Bachelors degree,0
M,22,20-30,118655,113950,1,26531.60,0.75,272,97.54,11,PA,Masters degree,1
F,35,31-40,89377,113946,2,25628.60,0.74,271,94.57,3,UT,Bachelors degree,0
M,62,Above 50,102853,113855,1,26564.80,0.77,282,94.20,4,LA,Masters degree,0
M,55,Above 50,83632,113344,2,27987.50,0.81,296,94.55,6,MO,Masters degree,0
F,45,41-50,74019,113309,5,27112.90,0.78,286,94.80,4,OH,Bachelors degree,0
F,24,20-30,92161,113216,2,26179.20,0.75,275,95.20,4,WV,Masters degree,0
F,59,Above 50,88298,112977,5,25318.10,0.75,275,92.07,3,OK,Bachelors degree,0
M,44,41-50,83728,112618,2,27852.40,0.80,291,95.71,2,WV,Bachelors degree,0
M,44,41-50,70323,112509,4,25608.30,0.75,272,94.15,3,SD,Bachelors degree,0
M,67,Above 50,72194,112471,5,27129.10,0.79,290,93.55,3,NY,Masters degree,0
M,23,20-30,90741,112369,2,26733.40,0.79,289,92.50,4,TN,Masters degree,0
