field1,CustomerID,Class,LengthOfTime,CurrentBalance,Location,Income,LineOfCredit,HomeLoan,Superanuation,EducationSaver,Investment,WorkingFulltime,AvgTrans
490,"00034","Platinum",4.250000,1127.390000,"Urban",200000,1,0,0,0,0,1,28
2986,"00028","Silver",4.670000,2437.930000,"Suburban",116000,1,1,1,1,1,0,71
967,"00050","Platinum",7.990000,3532.760000,"Suburban",173000,1,1,1,0,0,1,62
392,"00030","Platinum",6.450000,2055.720000,"Rural",161000,0,0,0,0,0,1,48
1307,"00045","Gold",3.810000,1055.610000,"Urban",145000,1,0,0,0,0,0,18
2918,"00007","Silver",4.440000,2012.800000,"Suburban",117000,1,1,1,1,1,0,71
58,"00019","Platinum",4.060000,1219.520000,"Urban",166000,0,0,0,0,0,1,26
2359,"00014","Silver",3.020000,1750.470000,"Rural",108000,1,1,1,0,0,1,54
320,"00028","Platinum",4.000000,1067.080000,"Urban",171000,1,1,1,0,0,1,28
66,"00019","Platinum",4.180000,1232.100000,"Urban",133000,0,0,0,0,0,1,27
1094,"00038","Gold",4.730000,2053.870000,"Rural",135000,1,0,0,0,0,0,40
1262,"00044","Gold",3.170000,2126.390000,"Rural",131000,1,0,0,0,0,0,43
268,"00026","Platinum",8.190000,3271.910000,"Suburban",174000,1,1,1,0,0,1,59
239,"00025","Platinum",3.860000,1170.680000,"Urban",196000,1,1,0,0,0,1,25
1781,"00015","Gold",3.400000,2008.360000,"Rural",147000,1,0,0,0,0,1,39
1346,"00047","Gold",4.340000,1933.620000,"Rural",147000,1,0,0,0,0,0,36
1265,"00044","Gold",4.950000,2005.400000,"Rural",120000,1,0,0,0,0,0,38
738,"00042","Platinum",5.900000,2020.940000,"Rural",164000,0,0,0,0,0,1,45
1530,"00004","Gold",2.970000,1012.690000,"Urban",163000,1,1,0,0,0,1,20
1185,"00041","Gold",3.350000,2246.270000,"Rural",146000,1,1,1,0,0,0,39
1453,"00001","Gold",3.330000,999.370000,"Urban",135000,1,1,1,0,0,1,22
1680,"00010","Gold",3.160000,1190.660000,"Urban",119000,1,1,0,0,0,1,25
2969,"00025","Silver",4.720000,2332.480000,"Suburban",87000,1,1,1,1,1,0,75
580,"00037","Platinum",3.880000,1013.430000,"Urban",206000,1,1,1,0,0,1,27
585,"00037","Platinum",4.150000,1217.670000,"Urban",192000,1,0,0,0,0,1,25
114,"00021","Platinum",5.820000,2348.020000,"Rural",171000,0,0,0,0,0,1,47
2153,"00006","Silver",2.100000,839.160000,"Urban",75000,1,0,0,0,0,1,33
2804,"00031","Silver",5.710000,2343.210000,"Suburban",84000,1,1,1,0,0,1,70
2539,"00021","Silver",0.940000,897.990000,"Urban",88000,1,1,1,0,0,1,31
2600,"00023","Silver",2.670000,1635.770000,"Rural",95000,1,1,1,1,0,1,55
2083,"00004","Silver",4.260000,2220.370000,"Suburban",87000,1,1,1,1,0,1,71
1746,"00013","Gold",3.160000,1265.400000,"Urban",140000,1,0,0,0,0,1,21
272,"00026","Platinum",6.290000,3145.000000,"Suburban",163000,1,1,1,0,0,1,61
1760,"00013","Gold",3.270000,1056.350000,"Urban",99000,1,1,0,0,0,1,23
868,"00046","Platinum",3.970000,1005.660000,"Urban",188000,1,0,0,0,0,1,22
2799,"00031","Silver",5.790000,2208.160000,"Suburban",97000,1,1,1,1,0,1,74
1035,"00035","Gold",3.930000,1909.570000,"Rural",121000,1,0,0,0,0,0,42
2923,"00010","Silver",4.110000,2393.900000,"Suburban",77000,1,1,1,1,1,0,74
857,"00046","Platinum",4.110000,997.890000,"Urban",212000,1,1,0,0,0,1,26
323,"00028","Platinum",3.720000,1028.230000,"Urban",167000,1,0,0,0,0,1,24
2932,"00013","Silver",4.670000,2077.550000,"Suburban",94000,1,1,1,1,1,0,74
1193,"00041","Gold",3.260000,1889.960000,"Rural",161000,1,0,0,0,0,0,40
2358,"00014","Silver",3.460000,1606.910000,"Rural",103000,1,1,1,0,0,1,53
2393,"00016","Silver",6.220000,2283.640000,"Suburban",118000,1,1,1,1,0,1,73
435,"00032","Platinum",8.050000,3355.160000,"Suburban",159000,1,1,1,0,0,1,60
1461,"00002","Gold",5.060000,2992.560000,"Suburban",126000,1,1,1,1,0,1,61
1069,"00036","Gold",2.880000,1361.600000,"Urban",114000,1,0,0,0,0,0,20
1678,"00010","Gold",2.970000,1084.470000,"Urban",137000,1,1,1,0,0,1,22
1507,"00004","Gold",3.470000,1160.690000,"Urban",136000,1,0,0,0,0,1,23
869,"00046","Platinum",3.450000,1046.360000,"Urban",161000,0,0,0,0,0,1,27
86,"00020","Platinum",8.140000,3448.770000,"Suburban",165000,1,1,1,0,0,1,60
462,"00033","Platinum",5.830000,2314.720000,"Rural",147000,0,0,0,0,0,1,44
2126,"00006","Silver",1.430000,859.880000,"Urban",99000,0,0,0,0,0,1,35
684,"00040","Platinum",4.450000,1188.070000,"Urban",120000,1,1,0,0,0,1,28
1688,"00011","Gold",5.050000,3049.540000,"Suburban",158000,1,1,1,1,0,1,54
416,"00031","Platinum",4.360000,1027.860000,"Urban",189000,1,0,0,0,0,1,23
670,"00040","Platinum",4.000000,1119.620000,"Urban",175000,1,0,0,0,0,1,28
256,"00026","Platinum",8.040000,3225.290000,"Suburban",196000,1,1,1,0,0,1,61
1127,"00039","Gold",3.510000,1042.290000,"Urban",139000,1,0,0,0,0,0,20
2756,"00029","Silver",3.340000,1613.200000,"Rural",98000,1,1,1,0,0,1,56
378,"00030","Platinum",5.940000,2343.210000,"Rural",183000,0,0,0,0,0,1,47
1566,"00006","Gold",3.430000,1939.910000,"Rural",137000,1,0,0,0,0,1,45
183,"00023","Platinum",8.380000,3492.430000,"Suburban",181000,1,1,1,0,0,1,61
601,"00037","Platinum",4.130000,1166.240000,"Urban",181000,0,0,0,0,0,1,27
1941,"00005","Gold",5.300000,3228.990000,"Suburban",134000,1,1,1,1,0,0,55
2569,"00022","Silver",5.160000,2338.030000,"Suburban",79000,1,1,1,1,0,1,71
1548,"00006","Gold",3.830000,1856.660000,"Rural",165000,1,1,1,0,0,1,42
2848,"00033","Silver",2.810000,629.370000,"Urban",112000,0,0,0,0,0,1,36
1098,"00038","Gold",4.380000,2016.130000,"Rural",157000,1,0,0,0,0,0,41
2478,"00019","Silver",6.140000,2286.230000,"Suburban",84000,1,1,1,1,0,1,72
2930,"00013","Silver",6.250000,2191.510000,"Suburban",103000,1,1,1,1,1,0,70
1297,"00045","Gold",3.060000,1045.250000,"Urban",143000,1,0,0,0,0,0,24
44,"00019","Platinum",3.830000,1304.250000,"Urban",121000,0,0,0,0,0,1,29
1603,"00007","Gold",4.050000,1262.070000,"Urban",133000,0,0,0,0,0,1,22
401,"00031","Platinum",4.170000,1075.220000,"Urban",181000,0,0,0,0,0,1,27
1772,"00014","Gold",5.350000,2877.860000,"Suburban",100000,1,1,1,1,0,1,59
445,"00032","Platinum",7.720000,3245.270000,"Suburban",189000,1,1,1,0,0,1,57
431,"00032","Platinum",9.380000,3321.120000,"Suburban",195000,1,1,1,0,0,1,62
91,"00020","Platinum",6.230000,3422.130000,"Suburban",160000,1,1,1,0,0,1,63
1232,"00043","Gold",5.210000,3032.150000,"Suburban",119000,1,1,1,1,0,0,57
1555,"00006","Gold",3.500000,2065.340000,"Rural",148000,1,0,0,0,0,1,41
913,"00048","Platinum",5.270000,2106.780000,"Rural",157000,0,0,0,0,0,1,48
993,"00050","Platinum",6.840000,3344.060000,"Suburban",152000,1,1,1,0,0,1,58
329,"00028","Platinum",4.510000,1229.880000,"Urban",146000,1,0,0,0,0,1,25
1484,"00003","Gold",3.780000,1927.700000,"Rural",123000,1,1,0,0,0,1,39
2187,"00008","Silver",3.500000,1953.600000,"Rural",119000,1,0,0,0,0,1,54
1913,"00049","Gold",5.670000,2841.600000,"Suburban",171000,1,1,1,1,1,0,56
2720,"00028","Silver",5.530000,2110.480000,"Suburban",100000,1,1,1,1,0,1,73
901,"00047","Platinum",7.750000,3312.980000,"Suburban",172000,1,1,1,0,0,1,61
400,"00031","Platinum",4.370000,1219.150000,"Urban",179000,1,0,0,0,0,1,25
1187,"00041","Gold",4.070000,2217.780000,"Rural",69000,1,0,0,0,0,0,37
532,"00035","Platinum",7.770000,3406.590000,"Suburban",147000,1,1,1,0,0,1,64
225,"00025","Platinum",3.910000,1202.870000,"Urban",181000,1,0,0,0,0,1,24
1923,"00049","Gold",4.940000,2989.230000,"Suburban",159000,1,1,1,1,0,0,59
1853,"00034","Gold",5.580000,2996.260000,"Suburban",134000,1,1,1,1,0,0,54
1191,"00041","Gold",3.610000,2092.350000,"Rural",159000,1,0,0,0,0,0,45
690,"00040","Platinum",3.820000,1118.140000,"Urban",138000,1,0,0,0,0,1,30
2034,"00002","Silver",2.660000,1534.390000,"Rural",111000,1,1,1,0,0,1,59
1665,"00010","Gold",3.550000,1078.550000,"Urban",151000,0,0,0,0,0,1,20
2669,"00026","Silver",2.200000,1505.900000,"Rural",106000,1,1,1,1,0,1,59
374,"00030","Platinum",5.880000,2066.820000,"Rural",195000,0,0,0,0,0,1,45
2779,"00030","Silver",1.560000,751.100000,"Urban",111000,0,0,0,0,0,1,36
2147,"00006","Silver",2.170000,701.520000,"Urban",87000,1,1,1,1,0,1,34
554,"00036","Platinum",5.130000,2173.380000,"Rural",202000,0,0,0,0,0,1,46
2580,"00023","Silver",2.310000,1666.110000,"Rural",122000,1,1,1,1,0,1,54
2808,"00031","Silver",4.550000,2190.030000,"Suburban",141000,1,1,1,1,0,1,71
759,"00043","Platinum",3.900000,1143.300000,"Urban",183000,1,0,0,0,0,1,29
33,"00018","Platinum",5.680000,2295.850000,"Rural",152000,0,0,0,0,0,1,51
2947,"00016","Silver",5.720000,2186.700000,"Suburban",109000,1,1,1,1,1,0,77
1708,"00012","Gold",3.320000,1975.800000,"Rural",130000,0,0,0,0,0,1,38
98,"00020","Platinum",8.410000,3110.220000,"Suburban",201000,1,1,1,0,0,1,58
2640,"00025","Silver",3.940000,2279.200000,"Suburban",65000,1,1,1,1,0,1,69
208,"00024","Platinum",5.650000,2139.340000,"Rural",183000,0,0,0,0,0,1,43
2748,"00029","Silver",2.880000,1476.670000,"Rural",100000,1,1,1,1,0,1,54
1271,"00044","Gold",3.520000,2271.430000,"Rural",121000,1,1,0,0,0,0,41
1612,"00008","Gold",5.690000,2949.640000,"Suburban",116000,1,1,1,1,0,1,58
456,"00032","Platinum",7.580000,3359.230000,"Suburban",201000,1,1,1,1,0,1,59
888,"00047","Platinum",7.450000,3438.780000,"Suburban",181000,1,1,1,0,0,1,60
2488,"00019","Silver",4.120000,2318.790000,"Suburban",97000,1,1,1,1,0,1,69
997,"00038","Platinum",7.010000,3418.430000,"Suburban",177000,1,1,1,1,0,0,62
902,"00047","Platinum",7.370000,3357.380000,"Suburban",184000,1,1,1,0,0,1,60
1020,"00035","Gold",3.930000,2039.810000,"Rural",124000,1,1,0,0,0,0,42
2590,"00023","Silver",2.260000,1663.150000,"Rural",108000,1,1,1,0,0,1,58
296,"00027","Platinum",5.260000,2286.970000,"Rural",174000,0,0,0,0,0,1,47
1608,"00008","Gold",5.410000,3011.800000,"Suburban",98000,1,1,1,1,0,1,61
2230,"00009","Silver",1.210000,974.580000,"Urban",84000,1,0,0,0,0,1,34
1866,"00037","Gold",5.400000,2892.290000,"Suburban",135000,1,1,1,1,0,0,58
2272,"00011","Silver",2.370000,1688.310000,"Rural",106000,1,1,1,1,0,1,49
2623,"00024","Silver",1.240000,827.690000,"Urban",106000,1,1,1,0,0,1,35
1494,"00003","Gold",4.570000,2262.180000,"Rural",129000,1,1,0,0,0,1,40
1331,"00047","Gold",3.950000,2003.180000,"Rural",119000,1,1,1,0,0,0,41
872,"00046","Platinum",3.850000,1296.850000,"Urban",173000,1,1,0,0,0,1,30
988,"00050","Platinum",7.890000,3214.560000,"Suburban",182000,1,1,1,0,0,1,61
529,"00035","Platinum",8.780000,3506.120000,"Suburban",215000,1,1,1,0,0,1,61
2303,"00012","Silver",2.250000,934.620000,"Urban",98000,0,0,0,0,0,1,35
2999,"00034","Silver",3.710000,2108.260000,"Suburban",94000,1,1,1,1,1,0,72
2762,"00029","Silver",3.250000,1733.450000,"Rural",104000,1,1,1,0,0,1,55
236,"00025","Platinum",3.730000,1124.430000,"Urban",211000,0,0,0,0,0,1,29
2354,"00014","Silver",2.510000,1675.730000,"Rural",69000,1,1,1,1,0,1,55
73,"00020","Platinum",7.830000,3413.620000,"Suburban",170000,1,1,1,0,0,1,63
621,"00038","Platinum",7.380000,3372.920000,"Suburban",156000,1,1,1,0,0,1,61
541,"00035","Platinum",8.420000,3495.390000,"Suburban",189000,1,1,1,0,0,1,60
511,"00034","Platinum",3.930000,989.010000,"Urban",118000,1,1,0,0,0,1,25
2700,"00027","Silver",2.400000,606.800000,"Urban",106000,0,0,0,0,0,1,34
1166,"00040","Gold",5.650000,2738.000000,"Suburban",120000,1,1,1,1,0,0,61
2695,"00027","Silver",1.720000,971.990000,"Urban",105000,1,0,0,0,0,1,35
2464,"00018","Silver",2.510000,938.320000,"Urban",95000,1,1,1,0,0,1,35
2815,"00032","Silver",2.880000,1679.430000,"Rural",94000,1,1,1,0,0,1,52
310,"00028","Platinum",3.840000,1382.320000,"Urban",176000,1,0,0,0,0,1,26
800,"00044","Platinum",7.600000,3334.440000,"Suburban",178000,1,1,1,0,0,1,62
682,"00040","Platinum",4.000000,961.630000,"Urban",194000,0,0,0,0,0,1,30
534,"00035","Platinum",7.930000,3194.210000,"Suburban",156000,1,1,1,0,0,1,59
818,"00045","Platinum",6.500000,2214.080000,"Rural",203000,0,0,0,0,0,1,49
2339,"00014","Silver",1.790000,1659.080000,"Rural",122000,1,1,1,0,0,1,57
2049,"00002","Silver",2.210000,1674.250000,"Rural",80000,1,1,1,0,0,1,55
1418,"00050","Gold",4.740000,2121.580000,"Rural",161000,1,0,0,0,0,1,40
1024,"00035","Gold",4.510000,1839.270000,"Rural",131000,0,0,0,0,0,0,39
2664,"00026","Silver",1.650000,1599.510000,"Rural",82000,1,1,1,0,0,1,53
2142,"00006","Silver",2.760000,712.990000,"Urban",89000,1,1,1,1,0,1,31
1565,"00006","Gold",4.910000,1932.880000,"Rural",152000,1,0,0,0,0,1,43
1018,"00035","Gold",4.050000,1874.420000,"Rural",175000,1,0,0,0,0,0,41
1698,"00011","Gold",5.450000,3025.860000,"Suburban",132000,1,1,1,1,0,1,58
2170,"00007","Silver",6.090000,2317.310000,"Suburban",73000,1,1,1,1,0,1,74
886,"00047","Platinum",8.030000,3191.620000,"Suburban",193000,1,1,1,0,0,1,59
873,"00046","Platinum",4.400000,1082.620000,"Urban",129000,1,0,0,0,0,1,32
128,"00021","Platinum",5.060000,2202.980000,"Rural",136000,0,0,0,0,0,1,49
2690,"00027","Silver",1.630000,769.600000,"Urban",125000,1,0,0,0,0,1,34
1529,"00004","Gold",3.080000,1384.170000,"Urban",135000,1,0,0,0,0,1,21
2732,"00028","Silver",6.420000,2261.810000,"Suburban",86000,1,1,1,1,0,1,67
267,"00026","Platinum",7.530000,3098.010000,"Suburban",185000,1,1,1,0,0,1,64
2983,"00028","Silver",4.540000,2199.280000,"Suburban",107000,1,1,1,1,1,0,72
2211,"00009","Silver",2.120000,713.730000,"Urban",134000,1,0,0,0,0,1,31
1533,"00005","Gold",5.130000,2897.840000,"Suburban",131000,1,1,1,1,0,1,53
1384,"00049","Gold",5.300000,2636.250000,"Suburban",136000,1,1,1,0,0,1,56
1261,"00044","Gold",4.180000,2015.390000,"Rural",145000,1,0,0,0,0,0,45
140,"00022","Platinum",3.980000,901.320000,"Urban",175000,1,0,0,0,0,1,25
630,"00038","Platinum",9.240000,3301.510000,"Suburban",143000,1,1,1,0,0,1,62
2963,"00022","Silver",3.190000,2181.890000,"Suburban",108000,1,1,1,1,1,0,67
927,"00048","Platinum",5.940000,2349.870000,"Rural",174000,1,0,0,0,0,1,46
1155,"00040","Gold",5.700000,2749.100000,"Suburban",90000,1,1,1,1,0,0,57
404,"00031","Platinum",3.870000,983.090000,"Urban",182000,1,0,0,0,0,1,25
2707,"00027","Silver",2.330000,772.190000,"Urban",93000,1,1,0,0,0,1,30
1667,"00010","Gold",3.360000,1004.550000,"Urban",122000,1,0,0,0,0,1,26
1070,"00036","Gold",3.450000,1146.630000,"Urban",142000,1,0,0,0,0,0,23
298,"00027","Platinum",4.710000,2204.460000,"Rural",173000,0,0,0,0,0,1,47
2941,"00016","Silver",4.970000,2262.550000,"Suburban",77000,1,1,1,1,1,0,69
1328,"00047","Gold",3.830000,2038.330000,"Rural",155000,1,0,0,0,0,0,41
2564,"00022","Silver",4.590000,2414.620000,"Suburban",108000,1,1,1,1,0,1,73
23,"00018","Platinum",6.570000,2388.720000,"Rural",167000,0,0,0,0,0,1,47
2237,"00010","Silver",3.590000,2361.710000,"Suburban",116000,1,1,1,1,0,1,68
1008,"00034","Gold",5.520000,3007.360000,"Suburban",129000,1,1,1,0,0,0,65
1661,"00010","Gold",3.670000,1187.330000,"Urban",154000,1,0,0,0,0,1,19
202,"00024","Platinum",5.960000,2309.540000,"Rural",200000,1,0,0,0,0,1,50
828,"00045","Platinum",6.420000,2135.270000,"Rural",170000,0,0,0,0,0,1,49
1681,"00010","Gold",2.980000,990.860000,"Urban",105000,0,0,0,0,0,1,24
1516,"00004","Gold",3.000000,1122.210000,"Urban",100000,0,0,0,0,0,1,19
1454,"00002","Gold",5.500000,2985.530000,"Suburban",98000,1,1,1,1,0,1,57
2684,"00027","Silver",1.560000,707.070000,"Urban",91000,0,0,0,0,0,1,33
1854,"00037","Gold",5.280000,2782.400000,"Suburban",120000,1,1,1,1,0,0,56
289,"00027","Platinum",6.060000,2262.180000,"Rural",162000,0,0,0,0,0,1,43
870,"00046","Platinum",3.580000,1184.370000,"Urban",155000,0,0,0,0,0,1,26
686,"00040","Platinum",3.750000,1174.010000,"Urban",174000,0,0,0,0,0,1,25
1409,"00050","Gold",4.390000,1854.810000,"Rural",132000,1,0,0,0,0,1,37
673,"00040","Platinum",3.830000,1014.170000,"Urban",138000,1,0,0,0,0,1,23
1890,"00043","Gold",5.620000,2829.760000,"Suburban",127000,1,1,1,1,0,0,55
895,"00047","Platinum",7.930000,3362.190000,"Suburban",187000,1,1,1,0,0,1,62
750,"00042","Platinum",5.140000,2097.900000,"Rural",145000,1,0,0,0,0,1,48
2157,"00007","Silver",5.400000,2197.430000,"Suburban",99000,1,1,1,1,0,1,71
866,"00046","Platinum",3.620000,951.640000,"Urban",205000,1,0,0,0,0,1,25
1113,"00038","Gold",4.140000,1991.710000,"Rural",133000,1,0,0,0,0,0,37
410,"00031","Platinum",4.460000,1221.000000,"Urban",172000,1,1,1,0,0,1,27
2205,"00009","Silver",1.080000,763.310000,"Urban",105000,1,0,0,0,0,1,35
2902,"00004","Silver",3.930000,2245.530000,"Suburban",144000,1,1,1,1,1,0,68
2265,"00011","Silver",2.250000,1575.460000,"Rural",101000,1,1,0,0,0,1,53
446,"00032","Platinum",8.600000,3446.920000,"Suburban",176000,1,1,1,0,0,1,61
2105,"00005","Silver",2.550000,1693.860000,"Rural",55000,1,1,1,0,0,1,58
709,"00041","Platinum",7.680000,3433.600000,"Suburban",158000,1,1,1,0,0,1,63
2127,"00006","Silver",1.510000,781.440000,"Urban",86000,1,1,0,0,0,1,31
2676,"00026","Silver",2.640000,1777.110000,"Rural",115000,1,1,1,0,0,1,57
2014,"00001","Silver",6.080000,2150.810000,"Suburban",101000,1,1,1,0,0,1,70
606,"00037","Platinum",3.990000,866.170000,"Urban",221000,1,1,1,0,0,1,27
2526,"00021","Silver",1.720000,781.440000,"Urban",85000,1,1,1,0,0,1,31
805,"00044","Platinum",6.340000,3247.490000,"Suburban",155000,1,1,1,0,0,1,64
1081,"00037","Gold",5.160000,2847.520000,"Suburban",181000,1,1,1,1,0,0,62
2894,"00003","Silver",2.250000,727.050000,"Urban",91000,1,1,1,1,1,0,34
771,"00043","Platinum",3.750000,1208.050000,"Urban",184000,1,0,0,0,0,1,25
2888,"00001","Silver",5.500000,2105.300000,"Suburban",111000,1,1,1,1,1,0,77
1884,"00043","Gold",5.600000,2705.070000,"Suburban",148000,1,1,1,1,0,0,56
2295,"00012","Silver",2.170000,856.180000,"Urban",91000,1,1,1,0,0,1,32
1531,"00004","Gold",3.250000,983.460000,"Urban",143000,1,1,1,0,0,1,23
326,"00028","Platinum",4.050000,1080.400000,"Urban",193000,1,1,1,0,0,1,24
108,"00021","Platinum",6.200000,2146.370000,"Rural",155000,0,0,0,0,0,1,45
1167,"00041","Gold",4.330000,2152.660000,"Rural",89000,1,0,0,0,0,0,39
1609,"00008","Gold",5.600000,2886.000000,"Suburban",126000,1,1,1,1,0,1,53
990,"00050","Platinum",7.050000,3357.010000,"Suburban",201000,1,1,1,0,0,1,58
1524,"00004","Gold",3.420000,1176.230000,"Urban",138000,1,0,0,0,0,1,21
577,"00036","Platinum",5.010000,2107.890000,"Rural",208000,1,0,0,0,0,1,48
398,"00030","Platinum",5.690000,2312.130000,"Rural",167000,0,0,0,0,0,1,48
930,"00048","Platinum",5.330000,2220.370000,"Rural",185000,0,0,0,0,0,1,47
917,"00048","Platinum",5.350000,2207.050000,"Rural",211000,0,0,0,0,0,1,45
275,"00026","Platinum",7.800000,3377.360000,"Suburban",187000,1,1,1,0,0,1,61
674,"00040","Platinum",3.640000,1067.820000,"Urban",169000,1,1,1,0,0,1,23
940,"00049","Platinum",4.030000,1093.720000,"Urban",190000,1,1,0,0,0,1,27
856,"00046","Platinum",4.050000,962.370000,"Urban",165000,1,0,0,0,0,1,27
1906,"00046","Gold",5.890000,2747.990000,"Suburban",145000,1,1,1,1,1,0,54
450,"00032","Platinum",7.690000,3535.720000,"Suburban",182000,1,1,1,0,0,1,61
366,"00029","Platinum",7.810000,3260.440000,"Suburban",197000,1,1,1,0,0,1,59
2278,"00011","Silver",3.300000,1721.980000,"Rural",60000,1,1,1,1,0,1,56
2869,"00033","Silver",1.780000,748.880000,"Urban",85000,1,1,1,0,0,1,33
862,"00046","Platinum",4.160000,1158.100000,"Urban",163000,1,0,0,0,0,1,25
634,"00038","Platinum",7.280000,3361.820000,"Suburban",162000,1,1,1,0,0,1,62
324,"00028","Platinum",4.070000,1144.410000,"Urban",188000,1,1,0,0,0,1,23
2022,"00001","Silver",3.670000,2277.350000,"Suburban",104000,1,1,1,1,0,1,75
96,"00020","Platinum",7.520000,3351.830000,"Suburban",194000,1,1,1,0,0,1,61
976,"00050","Platinum",7.360000,3222.330000,"Suburban",190000,1,1,1,0,0,1,61
2307,"00012","Silver",1.880000,705.960000,"Urban",84000,1,1,1,0,0,1,35
2296,"00012","Silver",2.430000,681.170000,"Urban",119000,1,1,0,0,0,1,36
2868,"00033","Silver",2.440000,682.650000,"Urban",93000,1,1,1,0,0,1,34
2404,"00016","Silver",5.880000,2209.270000,"Suburban",90000,1,1,1,0,0,1,75
2351,"00014","Silver",2.240000,1754.170000,"Rural",95000,1,1,1,1,0,1,56
9,"00017","Platinum",8.890000,3409.180000,"Suburban",174000,1,1,1,0,0,1,65
307,"00027","Platinum",6.070000,2143.780000,"Rural",176000,0,0,0,0,0,1,49
2124,"00005","Silver",2.990000,1787.100000,"Rural",85000,1,1,1,0,0,1,57
2036,"00002","Silver",1.730000,1692.010000,"Rural",94000,1,1,0,0,0,1,58
1228,"00043","Gold",5.440000,2730.600000,"Suburban",119000,1,1,1,1,0,0,58
1140,"00039","Gold",3.710000,963.480000,"Urban",122000,0,0,0,0,0,0,21
1971,"00011","Gold",5.450000,2837.900000,"Suburban",134000,1,1,1,1,0,0,60
2027,"00002","Silver",2.520000,1534.390000,"Rural",105000,1,0,0,0,0,1,52
2953,"00019","Silver",4.580000,2195.950000,"Suburban",81000,1,1,1,1,1,0,77
924,"00048","Platinum",5.770000,2409.440000,"Rural",172000,1,0,0,0,0,1,49
1349,"00048","Gold",3.290000,1080.400000,"Urban",153000,1,1,1,0,0,0,21
2750,"00029","Silver",1.850000,1620.230000,"Rural",106000,1,0,0,0,0,1,57
2287,"00012","Silver",1.910000,561.290000,"Urban",99000,0,0,0,0,0,1,32
841,"00045","Platinum",6.250000,2265.510000,"Rural",211000,0,0,0,0,0,1,48
1411,"00050","Gold",4.100000,1975.430000,"Rural",140000,1,1,0,0,0,1,37
2995,"00031","Silver",3.560000,2106.040000,"Suburban",109000,1,1,1,1,1,0,75
2000,"00017","Gold",5.410000,2839.010000,"Suburban",164000,1,1,1,1,0,0,55
1485,"00003","Gold",4.190000,1925.850000,"Rural",140000,0,0,0,0,0,1,43
1227,"00043","Gold",5.450000,2831.610000,"Suburban",110000,1,1,1,1,0,0,57
695,"00040","Platinum",4.400000,1154.400000,"Urban",153000,1,0,0,0,0,1,28
